dataset,status,group_variable,group_value,n,support_flag,denial_rate,approval_rate,mean_model_score,top_20pct_group_capture,claim_boundary
HMDA Fair-Lending Sample,completed,derived_race,2 or more minority races,12,low_support,0.16666666666666666,0.8333333333333334,0.14228174304496427,0.5,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,American Indian or Alaska Native,14,low_support,0.14285714285714285,0.8571428571428572,0.12322292456318176,0.0,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,Asian,1786,sufficient_support,0.09630459126539753,0.9036954087346025,0.09866811859326617,0.29069767441860467,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,Black or African American,39,low_support,0.23076923076923078,0.7692307692307692,0.16805203765792348,0.4444444444444444,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,Joint,215,sufficient_support,0.08372093023255814,0.9162790697674419,0.07399763972016692,0.2777777777777778,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,Native Hawaiian or Other Pacific Islander,11,low_support,0.09090909090909091,0.9090909090909091,0.15741767989011032,0.0,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,Race Not Available,1369,sufficient_support,0.14170927684441198,0.8582907231555881,0.12897673212383506,0.3917525773195876,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_race,White,2177,sufficient_support,0.12310519062930639,0.8768948093706936,0.1309847567087254,0.34328358208955223,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_ethnicity,Ethnicity Not Available,1258,sufficient_support,0.12559618441971382,0.8744038155802862,0.12408801485581565,0.3291139240506329,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_ethnicity,Hispanic or Latino,553,sufficient_support,0.17721518987341772,0.8227848101265822,0.191732246214824,0.47959183673469385,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_ethnicity,Joint,210,sufficient_support,0.06190476190476191,0.9380952380952381,0.08102758779508218,0.3076923076923077,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_ethnicity,Not Hispanic or Latino,3602,sufficient_support,0.11021654636313159,0.8897834536368684,0.10728078609253971,0.28211586901763225,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_sex,Female,1043,sufficient_support,0.11792905081495686,0.8820709491850431,0.12812862056435914,0.3252032520325203,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_sex,Joint,2403,sufficient_support,0.09696213066999584,0.9030378693300042,0.1055210707046481,0.31759656652360513,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_sex,Male,1592,sufficient_support,0.1457286432160804,0.8542713567839196,0.13555320453734163,0.34913793103448276,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,derived_sex,Sex Not Available,585,sufficient_support,0.13333333333333333,0.8666666666666667,0.10695017779891493,0.34615384615384615,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,income_bucket,low_income,219,sufficient_support,0.2237442922374429,0.7762557077625571,0.2038118563206449,0.5306122448979592,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,income_bucket,mid_income,307,sufficient_support,0.2736156351791531,0.7263843648208469,0.27780063290011925,0.30952380952380953,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,income_bucket,upper_mid_income,724,sufficient_support,0.1464088397790055,0.8535911602209945,0.1633295548639786,0.2641509433962264,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
HMDA Fair-Lending Sample,completed,income_bucket,high_income,3918,sufficient_support,0.0995405819295559,0.9004594180704442,0.09709318212367435,0.24358974358974358,This is a fairness diagnostic slice. It is not legal compliance proof and does not establish discrimination.
