dataset,status,subgroup,subgroup_value,score_decile,n,support_flag,mean_score_before,realized_rate,residual_before_actual_minus_predicted,mean_score_after_simple_update,residual_after_actual_minus_predicted,abs_residual_before,abs_residual_after,claim_boundary,max_abs_residual_before_all_bins,max_abs_residual_after_all_bins
Freddie Mac Sample,completed,credit_score_bucket,low,9,98,sufficient_support,0.361755617742142,0.25510204081632654,-0.10665357692581545,0.25510204081632654,0.0,0.10665357692581545,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,mid,8,279,sufficient_support,0.21147557275966664,0.2114695340501792,-6.038709487427019e-06,0.2114695340501792,0.0,6.038709487427019e-06,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,mid,9,3850,sufficient_support,0.28926321894204865,0.21324675324675324,-0.07601646569529541,0.21324675324675324,0.0,0.07601646569529541,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,1,2,low_support,0.052607075839341044,0.0,-0.052607075839341044,0.0,0.0,0.052607075839341044,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,2,35,sufficient_support,0.061827075212975126,0.05714285714285714,-0.004684218070117985,0.05714285714285714,0.0,0.004684218070117985,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,3,82,sufficient_support,0.07045570656788504,0.07317073170731707,0.0027150251394320313,0.07317073170731704,2.7755575615628914e-17,0.0027150251394320313,2.7755575615628914e-17,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,4,178,sufficient_support,0.08278984732965636,0.08426966292134831,0.0014798155916919548,0.08426966292134831,0.0,0.0014798155916919548,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,5,1270,sufficient_support,0.10012553246651365,0.08425196850393701,-0.015873563962576637,0.08425196850393701,0.0,0.015873563962576637,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,6,3328,sufficient_support,0.1226222565319513,0.09615384615384616,-0.026468410378105142,0.09615384615384619,-2.7755575615628914e-17,0.026468410378105142,2.7755575615628914e-17,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,7,4203,sufficient_support,0.15125051295406133,0.11182488698548655,-0.03942562596857478,0.11182488698548655,0.0,0.03942562596857478,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,8,4508,sufficient_support,0.19201140643477765,0.1510647737355812,-0.04094663269919646,0.1510647737355812,0.0,0.04094663269919646,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,high,9,1016,sufficient_support,0.2531190957245867,0.1624015748031496,-0.09071752092143709,0.1624015748031496,0.0,0.09071752092143709,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,very_high,0,5008,sufficient_support,0.03969032216901105,0.02476038338658147,-0.01492993878242958,0.024760383386581465,3.469446951953614e-18,0.01492993878242958,3.469446951953614e-18,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,very_high,1,4992,sufficient_support,0.05006750288310353,0.027644230769230768,-0.02242327211387276,0.027644230769230765,3.469446951953614e-18,0.02242327211387276,3.469446951953614e-18,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,very_high,2,4958,sufficient_support,0.05904188348668484,0.03469140782573618,-0.02435047566094866,0.03469140782573618,0.0,0.02435047566094866,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
Freddie Mac Sample,completed,credit_score_bucket,very_high,3,4922,sufficient_support,0.07068953321422125,0.04246241365298659,-0.028227119561234658,0.04246241365298659,0.0,0.028227119561234658,0.0,This table supports subgroup-level reliability diagnostics. It is not legal fairness proof.,0.2512506973313942,0.00546344282672543
