date,asset,event_id,event_date,window_name,window_width_days,event_type,severity,weak_label,claim_boundary
2022-05-06,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-07,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-08,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-09,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-10,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-11,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-12,BTC,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-02,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-03,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-04,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-05,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-06,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-07,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-08,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-09,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-10,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-11,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-12,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-13,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-14,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-15,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-16,BTC,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-06,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-07,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-08,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-09,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-10,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-11,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-12,ETH,E001,2022-05-09,event_window_3d,3,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-02,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-03,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-04,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-05,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-06,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-07,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-08,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-09,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-10,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-11,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-12,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-13,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-14,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
2022-05-15,ETH,E001,2022-05-09,event_window_7d,7,stablecoin_depeg,high,1,"This is an event-window weak label, not verified fraud ground truth."
